"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","parametrized method","chromium","2026-06-09","failed","2026-06-09","","tests/usePageObjects.spec.ts","",""
"","26","navigate to form page @smoke @regression","chromium","2026-06-09","failed","2026-06-09","","tests/usePageObjects.spec.ts","",""
